,eq,support,num_points,bases
21,x_2**2/x_1**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
22,-sin(x_1)**2/(x_1 - x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
23,x_1**2*(x_2 + 1)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
24,x_1**2*(x_1*x_2 - 1)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
25,x_1**2*(x_1 + x_2)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
26,sin(x_1*(-x_1 + x_2 + 1)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
27,x_1**4*x_2**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
28,tan(x_2*sin(x_1*x_2))**3,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
29,x_1**4/x_2**8,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
30,cos(x_1 - sqrt(x_1**3)),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
31,x_1/(x_2*x_3) - x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,x_1**4 - x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
33,x_2/x_1,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,x_3*(x_1*x_2**3 + 1),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
35,x_1*x_2*(x_2**2 + x_3)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
36,x_2*(x_1 - x_3)/x_3,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,x_1*(x_1 - x_2**2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
38,x_1*exp(-2*x_1),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
39,x_1**2*sin(x_1)**2 - x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
40,x_1**3*sqrt(x_1**3),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
41,(x_2 - cos(x_1**2))**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
42,x_1**2 + sin(x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
43,x_1 - x_2*sin(x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
44,exp(x_1**3/x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
45,x_1**2*tan(x_1)**2,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
46,x_1**4*x_2**4,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
47,x_1*x_2*log(x_1)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
48,x_1*x_2/cos(x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
49,(x_1**3 - x_2)**2/x_1**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
50,x_1*(x_1 - x_2*x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,x_1*(x_1*x_3 + cos(x_2))/x_3,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
52,x_1 - tan(x_3) + 1/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
53,x_1**2*x_2*cos(x_1)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
54,x_1 - x_2 + log(x_1*x_2)/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
55,x_1**(3/2)/x_2 - x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,x_3*(x_1 - x_2)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
57,tan(x_1) - tan(x_1*sqrt(x_2)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
58,x_1**2 + cos(log(x_2)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
59,x_1**3 - x_1,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
60,log(tan(x_1/(x_2*x_3)))/x_1,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
61,x_1**2*log(x_1),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
62,(x_1 - (x_2 + tan(x_2))**2)**3,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
63,x_1/tan(x_1*x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
64,x_1**2/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
65,x_1*(x_1**2 - x_1*x_2 + 1),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
66,-x_1 + 2*sin(x_1),"{'x_1': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
67,x_1*x_2**4 + x_3**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
68,x_1**(-3),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,(x_1**2*x_2 - 1)**3/x_2**3,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
70,x_1*x_2**2*x_3**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
71,x_1*sin(x_1**2*x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
72,x_1/tan(2*x_1),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
73,x_1**(3/2),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,sqrt(x_1)/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,x_1**3*x_2**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
76,x_1**2*(x_1**2 - 1)**2,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
77,x_1 - 2*x_3*(x_2 - cos(x_2)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
78,1/(x_2*(x_1*x_2 - 1)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,x_2**4*log(x_1)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
80,x_1*(x_2 - sin(x_3)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
81,x_1**2*x_2**2*cos(x_2)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
82,x_2**3*sin(x_1)/(x_1*(x_2**3 + 1)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
83,x_1**11,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,x_1**2*x_2*cos(x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
85,log(x_3 + tan(x_1*x_2*x_3)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
86,-x_1**2 + x_1 + x_2**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
87,x_2*(x_1**2 + x_3*(x_1 + x_2)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
88,x_1*x_3*(1 - x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,(x_2**2 - cos(x_1)**2)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
90,x_1*x_2*x_3*sin(x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
91,x_1*(x_1 + x_2*log(x_2))/x_2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
92,x_1*x_2*x_3,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,sin(x_1**4)**2,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
94,x_1*x_2**2*(x_1 - x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
95,x_1**2*x_2**6*(-x_1 + x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
96,x_2**2*(2*x_1 - x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
97,x_1**2*x_3**2*(x_1 - x_2)**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
98,log((-x_1 + sin(x_1)**2)**3),"{'x_1': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
99,x_1 - sin(x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
100,x_2*(x_1 - cos(sin(x_1**2))),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]"
101,x_1**3*x_2**4/x_3,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
102,sqrt(x_2)*Abs(x_1),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,x_1**2/(x_2*cos(x_2)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
104,x_1*x_2**3,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
105,x_1*x_2*(1 - x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,-x_3 + (x_2 + sin(x_1))**2,"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
107,x_1 + exp(x_2)/x_1,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
108,x_1 + x_2/x_1,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109,cos(x_1**4),"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
110,x_1*x_2*sin(x_1),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
111,tan(tan(cos(x_1)))**2/x_1,"{'x_1': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
112,(x_1*x_2*(x_3 - 1) + cos(x_1))/(x_2*(x_3 - 1)),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
113,-x_1*tan(x_1)/(x_1**2 - x_2*x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
114,x_1 + 1/(x_2*x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,x_1**2*sqrt(x_2/x_3),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
116,-x_3 + x_3*tan(x_1)/(x_1*x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_3': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
117,x_1**3/x_2**2,"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
118,cos(x_1*x_2*sin(x_2**2)),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]"
119,x_1/tan(x_1*x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
120,log(x_1)*sin(x_1/x_2),"{'x_1': {'max': 10, 'min': -10}, 'x_2': {'max': 10, 'min': -10}}",500,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
